category_id,category_title,category_thai,conversation_id,conversation_no,conversation_title,line_no,speaker,english,thai
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,1,A,Good morning. Are you awake?,อรุณสวัสดิ์ ตื่นหรือยัง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,2,B,"Yes, I just woke up.",ตื่นแล้ว เพิ่งตื่นเมื่อกี้
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,3,A,What time is it now?,ตอนนี้กี่โมงแล้ว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,4,B,It is six thirty.,หกโมงครึ่งแล้ว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,5,A,We should get up soon.,เราควรลุกจากเตียงได้แล้ว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,6,B,"I know, but I am still sleepy.",รู้แล้ว แต่ฉันยังง่วงอยู่
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,7,A,Do you want five more minutes?,อยากนอนต่ออีกห้านาทีไหม
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,8,B,"Yes, please. Wake me up again.",เอาสิ ปลุกฉันอีกทีนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,9,A,"Okay, but don’t be late.",โอเค แต่อย่าสายนะ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_01_waking-up,1,Waking Up,10,B,I won’t. I’ll get ready quickly.,ไม่สายหรอก เดี๋ยวฉันจะรีบเตรียมตัว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,1,A,Are you ready for work?,พร้อมไปทำงานหรือยัง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,2,B,Not yet. I need to take a shower.,ยังเลย ฉันต้องอาบน้ำก่อน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,3,A,Did you brush your teeth?,แปรงฟันหรือยัง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,4,B,"Yes, I already did.",แปรงแล้วเรียบร้อย
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,5,A,What are you going to wear today?,วันนี้จะใส่อะไร
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,6,B,I’ll wear a white shirt and black pants.,ฉันจะใส่เสื้อเชิ้ตสีขาวกับกางเกงสีดำ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,morning-routine_02_getting-ready,2,Getting Ready,7,A,That looks neat and professional.,ดูเรียบร้อยและเป็นมืออาชีพดี
