category_id,category_title,category_thai,vocab_no,word,thai_meaning
morning-routine,Morning Routine,กิจวัตรตอนเช้า,1,wake up,ตื่นนอน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,2,get up,ลุกจากเตียง
morning-routine,Morning Routine,กิจวัตรตอนเช้า,3,brush my teeth,แปรงฟัน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,4,take a shower,อาบน้ำ
morning-routine,Morning Routine,กิจวัตรตอนเช้า,5,get dressed,แต่งตัว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,6,breakfast,อาหารเช้า
morning-routine,Morning Routine,กิจวัตรตอนเช้า,7,commute,เดินทางไปทำงาน/เรียน
morning-routine,Morning Routine,กิจวัตรตอนเช้า,8,prepare,เตรียมตัว
morning-routine,Morning Routine,กิจวัตรตอนเช้า,9,on time,ตรงเวลา
morning-routine,Morning Routine,กิจวัตรตอนเช้า,10,in a hurry,รีบ
customer-service,Customer Service,บริการลูกค้า,1,assist,ช่วยเหลือ
customer-service,Customer Service,บริการลูกค้า,2,issue,ปัญหา
customer-service,Customer Service,บริการลูกค้า,3,refund,คืนเงิน
customer-service,Customer Service,บริการลูกค้า,4,exchange,เปลี่ยนสินค้า
customer-service,Customer Service,บริการลูกค้า,5,receipt,ใบเสร็จ
customer-service,Customer Service,บริการลูกค้า,6,order,คำสั่งซื้อ
customer-service,Customer Service,บริการลูกค้า,7,delivery,การจัดส่ง
customer-service,Customer Service,บริการลูกค้า,8,available,พร้อมให้บริการ/มีสินค้า
customer-service,Customer Service,บริการลูกค้า,9,apologize,ขอโทษ
customer-service,Customer Service,บริการลูกค้า,10,solution,ทางแก้ปัญหา
job-interview,Job Interview,สัมภาษณ์งาน,1,experience,ประสบการณ์
job-interview,Job Interview,สัมภาษณ์งาน,2,strength,จุดแข็ง
job-interview,Job Interview,สัมภาษณ์งาน,3,weakness,จุดอ่อน
job-interview,Job Interview,สัมภาษณ์งาน,4,responsibility,ความรับผิดชอบ
job-interview,Job Interview,สัมภาษณ์งาน,5,position,ตำแหน่งงาน
job-interview,Job Interview,สัมภาษณ์งาน,6,salary,เงินเดือน
job-interview,Job Interview,สัมภาษณ์งาน,7,available,พร้อมเริ่มงาน
job-interview,Job Interview,สัมภาษณ์งาน,8,teamwork,การทำงานเป็นทีม
job-interview,Job Interview,สัมภาษณ์งาน,9,skill,ทักษะ
job-interview,Job Interview,สัมภาษณ์งาน,10,goal,เป้าหมาย
daily-life,Daily Life,ชีวิตประจำวัน,1,errand,ธุระ
daily-life,Daily Life,ชีวิตประจำวัน,2,laundry,ซักผ้า
daily-life,Daily Life,ชีวิตประจำวัน,3,clean,ทำความสะอาด
daily-life,Daily Life,ชีวิตประจำวัน,4,appointment,นัดหมาย
