category_id,category_title,category_thai,question_no,question_english,question_thai,answer_example,useful_phrases
morning-routine,Morning Routine,กิจวัตรตอนเช้า,1,What time do you usually wake up?,ปกติคุณตื่นกี่โมง,I usually wake up at 7 AM.,I usually...|At...|Around...
morning-routine,Morning Routine,กิจวัตรตอนเช้า,2,Do you eat breakfast every morning?,คุณกินอาหารเช้าทุกเช้าไหม,"Yes, I usually eat breakfast.","Yes, I do.|No, I don't.|I usually..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,3,How do you get ready for work or school?,คุณเตรียมตัวไปทำงานหรือเรียนอย่างไร,I usually take a shower and get dressed.,"I usually...|By...|First, I..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,4,Are you usually in a hurry in the morning?,ตอนเช้าคุณมักรีบไหม,I usually drink coffee in the morning.,"I usually...|After that, I...|Then, I..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,5,What do you drink in the morning?,ตอนเช้าคุณดื่มอะไร,I usually drink coffee in the morning.,"I usually...|After that, I...|Then, I..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,6,How long does your morning routine take?,กิจวัตรตอนเช้าของคุณใช้เวลานานแค่ไหน,It takes about 30 minutes.,It takes about...|Around... minutes.|Usually...
morning-routine,Morning Routine,กิจวัตรตอนเช้า,7,Do you exercise in the morning?,คุณออกกำลังกายตอนเช้าไหม,"Yes, I usually eat breakfast.","Yes, I do.|No, I don't.|I usually..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,8,What do you do after waking up?,หลังตื่นนอนคุณทำอะไร,I usually drink coffee in the morning.,"I usually...|After that, I...|Then, I..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,9,Do you prepare your bag at night?,คุณเตรียมกระเป๋าตอนกลางคืนไหม,"Yes, I usually eat breakfast.","Yes, I do.|No, I don't.|I usually..."
morning-routine,Morning Routine,กิจวัตรตอนเช้า,10,What helps you start the day well?,อะไรช่วยให้คุณเริ่มวันได้ดี,I usually drink coffee in the morning.,"I usually...|After that, I...|Then, I..."
customer-service,Customer Service,บริการลูกค้า,1,How can I help you today?,วันนี้ให้ช่วยอะไรได้บ้าง,"I'd like a chicken sandwich, please.","I'd like...|Can I have...?|Yes, please."
customer-service,Customer Service,บริการลูกค้า,2,What seems to be the problem?,ปัญหาคืออะไร,It is a good thing to do.,It is...|I think...|I usually...
customer-service,Customer Service,บริการลูกค้า,3,Do you have the receipt?,คุณมีใบเสร็จไหม,"Yes, we have it in black.","Yes, we do.|No, we don't.|Let me check."
customer-service,Customer Service,บริการลูกค้า,4,Would you like a refund or an exchange?,ต้องการคืนเงินหรือเปลี่ยนสินค้า,"I'd like a chicken sandwich, please.","I'd like...|Can I have...?|Yes, please."
customer-service,Customer Service,บริการลูกค้า,5,May I check your order number?,ขอตรวจเลขคำสั่งซื้อได้ไหม,"I'd like a chicken sandwich, please.","I'd like...|Can I have...?|Yes, please."
