category_id,category_title,category_thai,conversation_count,line_count,vocab_count,practice_count
morning-routine,Morning Routine,กิจวัตรตอนเช้า,5,50,10,10
customer-service,Customer Service,บริการลูกค้า,5,50,10,10
job-interview,Job Interview,สัมภาษณ์งาน,5,50,10,10
daily-life,Daily Life,ชีวิตประจำวัน,5,50,10,10
small-talk,Small Talk,คุยเล่นทั่วไป,5,50,10,10
food,Food,อาหาร,5,50,10,10
shopping,Shopping,การซื้อของ,5,50,10,10
travel,Travel,การเดินทาง/ท่องเที่ยว,5,50,10,10
work,Work,การทำงาน,5,50,10,10
online-chat,Online Chat,แชตออนไลน์,5,50,10,10
health-fitness,Health & Fitness,สุขภาพและฟิตเนส,5,50,10,10
